nivel_ruido,fuerza_cambio,tipo_cambio,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,iterations,series_per_iteration,delta_eval,series_evaluated,series_avg_length,series_std_length,notes,status,trial_id,is_best,params_json,f1_mean,precision_mean,recall_mean,mmd_mean,mttd_mean,detections_mean,tp_mean,fp_mean,fn_mean,series_count
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,5,False,"{""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.005, ""threshold"": 3.0}",0.095978835978836,0.15185185185185185,0.07592592592592592,0.9179478736596273,3.2222222222222223,0.8444444444444444,0.2,0.6444444444444445,2.111111111111111,45
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,6,False,"{""measurement_noise"": 0.8, ""min_distance"": 25, ""process_noise"": 0.005, ""threshold"": 2.5}",0.15825396825396826,0.17444444444444443,0.20740740740740737,0.6268682217192646,4.6875,2.6222222222222222,0.4444444444444444,2.1777777777777776,1.8666666666666667,45
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,7,False,"{""measurement_noise"": 0.8, ""min_distance"": 25, ""process_noise"": 0.005, ""threshold"": 3.0}",0.07851851851851852,0.12222222222222222,0.06296296296296296,0.9134367399530711,2.5714285714285716,0.8444444444444444,0.15555555555555556,0.6888888888888889,2.1555555555555554,45
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,0,False,"{""adaptation"": 5e-05, ""measurement_noise"": 0.2, ""min_distance"": 25, ""process_noise"": 0.0002, ""threshold"": 2.5}",0.11904761904761905,0.12777777777777777,0.13148148148148148,0.6327599541429756,5.0,2.7555555555555555,0.3111111111111111,2.4444444444444446,2.0,45
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,1,False,"{""adaptation"": 5e-05, ""measurement_noise"": 0.2, ""min_distance"": 25, ""process_noise"": 0.0002, ""threshold"": 3.0}",0.06497354497354497,0.1,0.05185185185185184,0.9159757053527717,3.5,1.0444444444444445,0.15555555555555556,0.8888888888888888,2.1555555555555554,45
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,2,False,"{""adaptation"": 5e-05, ""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.0002, ""threshold"": 2.5}",0.11830687830687832,0.1259259259259259,0.14629629629629629,0.6244267019161928,4.846153846153846,2.7555555555555555,0.3111111111111111,2.4444444444444446,2.0,45
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,3,False,"{""adaptation"": 5e-05, ""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.0002, ""threshold"": 3.0}",0.09079365079365079,0.15185185185185185,0.0685185185185185,0.9168162949150427,3.0,1.0444444444444445,0.2,0.8444444444444444,2.111111111111111,45
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,4,True,"{""adaptation"": 5e-05, ""measurement_noise"": 0.2, ""min_distance"": 25, ""process_noise"": 0.0005, ""threshold"": 2.5}",0.11904761904761905,0.12777777777777777,0.13148148148148148,0.6267285313996065,5.0,2.7111111111111112,0.3111111111111111,2.4,2.0,45
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,5,False,"{""adaptation"": 5e-05, ""measurement_noise"": 0.2, ""min_distance"": 25, ""process_noise"": 0.0005, ""threshold"": 3.0}",0.06497354497354497,0.1,0.05185185185185184,0.915962051776638,3.5,1.0444444444444445,0.15555555555555556,0.8888888888888888,2.1555555555555554,45
alto,alto,escalon,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro Kalman adaptativo (TAGI).,ok,6,False,"{""adaptation"": 5e-05, ""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.0005, ""threshold"": 2.5}",0.1034920634920635,0.1111111111111111,0.13518518518518519,0.6208273036402243,4.416666666666667,2.7777777777777777,0.28888888888888886,2.488888888888889,2.022222222222222,45
